Word,Frequency
uglifying,1
beautify,1
prettier,1
uglify,1
simpleton,1
ancient,1
modern,1
seaography,1
conger,1
stretching,1
fainting,1
coils,1
classical,1
crab,1
laughing,1
grief,1
plan,1
lessen,1
eleventh,1
holiday,1
twelfth,1
games,1
introduced,1
tasted,1
delightful,1
form,1
line,1
seashore,1
lines,1
seals,1
turtles,1
salmon,1
cleared,1
jellyfish,1
each,1
partner,1
partners,1
retire,1
order,1
throw,1
somersault,1
land,1
forgotten,1
thrown,1
shiny,1
blacking,1
soles,1
eels,1
shrimp,1
obliged,1
wise,1
anywhere,1
journey,1
purpose,1
um,1
accounting,1
check,1
plenty,1
offer,1
laid,1
raven,1
writing,1
desk,1
50,1
fourth,1
suit,1
stays,1
guessed,1
riddle,1
slightest,1
answers,1
beating,1
terms,1
hint,1
hungry,1
quarreled,1
concert,1
given,1
verse,1
bawled,1
murdering,1
whiles,1
moving,1
vote,1
fellows,1
upon,1
56,1
elsie,1
lacie,1
tillie,1
opinion,1
interrupt,1
clean,1
cup,1
upset,1
jug,1
plate,1
eh,1
drew,1
manner,1
m,1
mousetraps,1
moon,1
drawing,1
stupidest,1
perfectly,1
disgusting,1
reasons,1
secondly,1
noise,1
possibly,1
knock,1
maybe,1
creatures,1
argue,1
crazy,1
servant,1
whose,1
speaks,1
deaf,1
vexes,1
puts,1
sneeze,1
rid,1
precious,1
earth,1
twenty,1
axis,1
axes,1
grinned,1
nurse,1
ready,1
puss,1
depends,1
among,1
nowhere,1
grant,1
growls,1
wags,1
72,1
growl,1
wag,1
therefore,1
purring,1
growling,1
ugly,1
grunt,1
footman,1
became,1
turned,1
fig,1
appearing,1
vanishing,1
suddenly,1
vanishes,1
tweedle,1
dum,1
waxworks,1
contrariwise,1
visit,1
ye,1
leads,1
walrus,1
carpenter,1
longest,1
spoilt,1
fight,1
idiot,1
mallets,1
execute,1
execution,1
boxed,1
hears,1
quietly,1
happens,1
working,1
inventing,1
wood,1
hundred,1
exact,1
number,1
war,1
whole,1
thirteen,1
distance,1
light,1
skipping,1
wriggling,1
those,1
anglo,1
saxon,1
happy,1
respectable,1
alarm,1
feel,1
ham,1
eating,1
throwing,1
cold,1
pass,1
slower,1
town,1
earthquake,1
details,1
minding,1
sounds,1
themselves,1
fond,1
finding,1
morals,1
wondering,1
arm,1
doubtful,1
flamingo,1
experiment,1
flamingoes,1
birds,1
feather,1
flock,1
bird,1
clear,1
mineral,1
large,1
near,1
vegetable,1
simply,1
imagine,1
appear,1
appeared,1
follow,1
chose,1
pray,1
longer,1
uhm,1
pigs,1
fine,1
fair,1
warning,1
choice,1
speaking,1
fairly,1
rules,1
particular,1
arch,1
croqueted,1
hedgehog,1
likely,1
worth,1
finishing,1
friend,1
allow,1
introduce,1
kiss,1
likes,1
impertinent,1
lie,1
awfully,1
tunnel,1
times,1
sizes,1
caterpillar,1
height,1
offended,1
taller,1
shorter,1
mushroom,1
splashing,1
paint,1
jogged,1
elbow,1
lay,1
blame,1
deserved,1
tulip,1
roots,1
instead,1
onions,1
unjust,1
backs,1
trying,1
begone,1
ridiculous,1
proper,1
examination,1
sooner,1
obeyed,1
waited,1
preposterous,1
says,1
truth,1
complained,1
nasty,1
vicious,1
afternoon,1
guests,1
opportunity,1
teach,1
count,1
division,1
divide,1
loaf,1
sum,1
remains,1
circumstances,1
secret,1
discouraged,1
useful,1
flour,1
pick,1
flower,1
hedges,1
acres,1
feverish,1
languages,1
bargains,1
correct,1
fixes,1
consequences,1
thunderstorm,1
tuesday,1
roof,1
rolling,1
lumps,1
tables,1
accident,1
excuse,1
foolish,1
general,1
brought,1
amazing,1
tempered,1
pat,1
kindness,1
papers,1
wonders,1
smooth,1
lend,1
lullaby,1
lullabies,1
stole,1
ate,1
spell,1
muddle,1
slates,1
pencil,1
herald,1
accusation,1
120,1
fourteenth,1
fifteenth,1
sixteenth,1
fourteen,1
fifteen,1
sixteen,1
forty,1
reduce,1
shillings,1
hat,1
sell,1
nervous,1
spot,1
above,1
thin,1
began,1
t,1
dunce,1
twinkled,1
denies,1
123,1
lower,1
floor,1
collar,1
behead,1
suppress,1
pinch,1
forehead,1
ache,1
whatever,1
paper,1
127,1
opened,1
verses,1
handwriting,1
queerest,1
imitated,1
prove,1
sign,1
honest,1
guilt,1
piece,1
sixpence,1
returned,1
clearer,1
fits,1
pun,1
stuff,1
cares,1
pack,1
